"x";"media"
"1";1.07142857142857
"2";0.178571428571429
"3";0.142857142857143
"4";0.107142857142857
"5";0.0714285714285714
"6";0.0714285714285714
"7";0.178571428571429
"8";0.0714285714285714
"9";0
"10";0.107142857142857
"11";0.0357142857142857
"12";0.0714285714285714
"13";0.178571428571429
"14";0.0714285714285714
"15";0.0357142857142857
"16";0.357142857142857
"17";0.0714285714285714
"18";0
"19";0
"20";0.0357142857142857
"21";0.0357142857142857
"22";0.0357142857142857
"23";0.321428571428571
"24";0.0714285714285714
"25";0.0714285714285714
"26";0.0714285714285714
"27";0.0357142857142857
"28";0.142857142857143
"29";0.25
"30";0.0357142857142857
"31";0.0714285714285714
"32";0.142857142857143
"33";0.0357142857142857
"34";0.107142857142857
"35";0
"36";0.0357142857142857
"37";0.178571428571429
"38";0.0714285714285714
"39";0
"40";0
"41";0.178571428571429
"42";0
"43";0
"44";0.0357142857142857
"45";0
"46";0
"47";0
"48";0.0357142857142857
"49";0
"50";0.0357142857142857
